"","razao_social","nome_fantasia","situacao_cadastral","descricao_tipo_logradouro","logradouro","numero","complemento","bairro","cep","uf","codigo_municipio","municipio","codigo_natureza_juridica","cnpj","tipo","endereco","localizacao","lat","lon"
"63","NOVA CASA BAHIA S/A","","08","RUA","VOLUNTARIOS DA PATRIA","1943","1945,1949,1953 E          1955 - SALAO TERREO       R SALETE, 100,102 E       110","SANTANA","02011400","SP","7107","SAO PAULO","2054","10757237034827","CASA BAHIA","RUA VOLUNTARIOS DA PATRIA","SP, SAO PAULO, SANTANA, RUA VOLUNTARIOS DA PATRIA, NOVA CASA BAHIA S/A",-23.5031367,-46.6268345
"64","NOVA CASA BAHIA S/A","","08","RUA","GOIANESIA","11","11 A, 11 B, 13 E 19","VILA MEDEIROS","02220290","SP","7107","SAO PAULO","2054","10757237034908","CASA BAHIA","RUA GOIANESIA","SP, SAO PAULO, VILA MEDEIROS, RUA GOIANESIA, NOVA CASA BAHIA S/A",-23.4915166,-46.5749369
"65","NOVA CASA BAHIA S/A","","08","AVENIDA","DR. SYLVIO DE CAMPOS","25","25 A, R SALLES GOMES      64","VILA PERUS","05204000","SP","7107","SAO PAULO","2054","10757237035041","CASA BAHIA","AVENIDA DR. SYLVIO DE CAMPOS","SP, SAO PAULO, VILA PERUS, AVENIDA DR. SYLVIO DE CAMPOS, NOVA CASA BAHIA S/A",-23.4060508,-46.7535814
"66","NOVA CASA BAHIA S/A","","08","AVENIDA","PROFESSOR CELESTINO BOURROUL","847","","LIMAO","02710001","SP","7107","SAO PAULO","2054","10757237035394","CASA BAHIA","AVENIDA PROFESSOR CELESTINO BOURROUL","SP, SAO PAULO, LIMAO, AVENIDA PROFESSOR CELESTINO BOURROUL, NOVA CASA BAHIA S/A",-23.5061631,-46.6734026
"67","NOVA CASA BAHIA S/A","","08","AVENIDA","GUARAPIRANGA","752","LOJAS 106/107/108/        109/110 E 110-A           SHOP CENTER FIESTA        LARGO DO SOCORRO","SANTO AMARO","04762970","SP","7107","SAO PAULO","2054","10757237035637","CASA BAHIA","AVENIDA GUARAPIRANGA","SP, SAO PAULO, SANTO AMARO, AVENIDA GUARAPIRANGA, NOVA CASA BAHIA S/A",-23.6658997,-46.7210709
"68","NOVA CASA BAHIA S/A","","08","RODOVIA","BR 116","S/N","KM 271,5                  SHOP. CENTER TABOAO","CIDADE INTERCAP","06768200","SP","7157","TABOAO DA SERRA","2054","10757237036447","CASA BAHIA","RODOVIA BR 116","SP, TABOAO DA SERRA, CIDADE INTERCAP, RODOVIA BR 116, NOVA CASA BAHIA S/A",-23.6136968,-46.7756965
"69","NOVA CASA BAHIA S/A","","08","RUA","GONCALVES CRESPO","S/N","SHOPPING METRO            TATUAPE II, LOJA 12,      PAVIMENTO TERREO","TATUAPE","03066030","SP","7107","SAO PAULO","2054","10757237046086","CASA BAHIA","RUA GONCALVES CRESPO","SP, SAO PAULO, TATUAPE, RUA GONCALVES CRESPO, NOVA CASA BAHIA S/A",-23.5391205,-46.5759584
"70","NOVA CASA BAHIA S/A","","08","RUA","ARLINDO COLACO","404","418 E 422                 R JOSE OTONI, S/N         R RACHID ATHIE, S/N","SAO MIGUEL PAULISTA","08010010","SP","7107","SAO PAULO","2054","10757237046167","CASA BAHIA","RUA ARLINDO COLACO","SP, SAO PAULO, SAO MIGUEL PAULISTA, RUA ARLINDO COLACO, NOVA CASA BAHIA S/A",-23.4949745,-46.4374606
"71","NOVA CASA BAHIA S/A","","08","AVENIDA","DR ALMIRO LEAL DA COSTA","370","380, R MANUEL LEMES       DA SILVA,427 E LOTE       19, QUADRA 65","JARDIM DAS OLIVEIRAS","08122260","SP","7107","SAO PAULO","2054","10757237046248","CASA BAHIA","AVENIDA DR ALMIRO LEAL DA COSTA","SP, SAO PAULO, JARDIM DAS OLIVEIRAS, AVENIDA DR ALMIRO LEAL DA COSTA, NOVA CASA BAHIA S/A",-23.4938481,-46.3780051
"72","NOVA CASA BAHIA S/A","","08","PRACA","PADRE DAMIAO","93","COM FRENTE TAMBEM         PARA A RUA DO             ORFANATO 19","VILA PRUDENTE","03126050","SP","7107","SAO PAULO","2054","10757237046329","CASA BAHIA","PRACA PADRE DAMIAO","SP, SAO PAULO, VILA PRUDENTE, PRACA PADRE DAMIAO, NOVA CASA BAHIA S/A",-23.5812647,-46.5851017
"73","NOVA CASA BAHIA S/A","","08","AVENIDA","PIRES DO RIO","4840","","ITAQUERA","08240005","SP","7107","SAO PAULO","2054","10757237046400","CASA BAHIA","AVENIDA PIRES DO RIO","SP, SAO PAULO, ITAQUERA, AVENIDA PIRES DO RIO, NOVA CASA BAHIA S/A",-23.4949745,-46.4374606
"74","NOVA CASA BAHIA S/A","","08","AVENIDA","MARECHAL TITO","4399","ESQUINA COM RUA           ALBARDAO 2A E 40","VILA BIACICA/SAO MIGUEL PAULISTA","08115100","SP","7107","SAO PAULO","2054","10757237046590","CASA BAHIA","AVENIDA MARECHAL TITO","SP, SAO PAULO, VILA BIACICA/SAO MIGUEL PAULISTA, AVENIDA MARECHAL TITO, NOVA CASA BAHIA S/A",-23.4947993,-46.4387798
"75","NOVA CASA BAHIA S/A","","08","RUA","IGNACIO ALVES DE MATTOS","64","64A, 64B FUNDOS E 66      RUA GREGORIO RAMALHO      273 E PAVIMENTO           SUPERIOR FUNDOS","VILA CARMOZINA","08210210","SP","7107","SAO PAULO","2054","10757237046671","CASA BAHIA","RUA IGNACIO ALVES DE MATTOS","SP, SAO PAULO, VILA CARMOZINA, RUA IGNACIO ALVES DE MATTOS, NOVA CASA BAHIA S/A",-23.5379104,-46.4546748
"76","NOVA CASA BAHIA S/A","","08","RUA","PROFESSOR JOAO DE LIMA PAIVA","65","RUA OTELO AUGUSTO         RIBEIRO 126","GUAIANAZES","08411020","SP","7107","SAO PAULO","2054","10757237046752","CASA BAHIA","RUA PROFESSOR JOAO DE LIMA PAIVA","SP, SAO PAULO, GUAIANAZES, RUA PROFESSOR JOAO DE LIMA PAIVA, NOVA CASA BAHIA S/A",-23.5449333,-46.4101385
"77","NOVA CASA BAHIA S/A","","08","PRACA","DA LIBERDADE","200","208 E 214","LIBERDADE","01503010","SP","7107","SAO PAULO","2054","10757237046833","CASA BAHIA","PRACA DA LIBERDADE","SP, SAO PAULO, LIBERDADE, PRACA DA LIBERDADE, NOVA CASA BAHIA S/A",-23.5554314,-46.6362839
